Date,Date_Reported,Holder,pctHeld,Shares,Value,pctChange
1970-01-01 00:00:00.000000000,2026-03-31,Blackrock Inc.,0.0799,593328571,232255506820,-0.014199999
1970-01-01 00:00:00.000000001,2026-03-31,Vanguard Capital Management LLC,0.065,482558086,188894953508,1.0
1970-01-01 00:00:00.000000002,2026-03-31,State Street Corporation,0.041300002,306708289,120059428434,0.0018000001
1970-01-01 00:00:00.000000003,2026-03-31,"FMR, LLC",0.0256,190211367,74457289948,-0.053400002
1970-01-01 00:00:00.000000004,2026-03-31,"Geode Capital Management, LLC",0.0254,188501918,73788134672,0.0322
1970-01-01 00:00:00.000000005,2026-03-31,Vanguard Portfolio Management LLC,0.0225,167490848,65563456222,1.0
1970-01-01 00:00:00.000000006,2026-03-31,JPMORGAN CHASE & CO,0.0171,127128999,49764011944,-0.1396
1970-01-01 00:00:00.000000007,2026-03-31,Morgan Stanley,0.0168,124881288,48884156695,0.030199999
1970-01-01 00:00:00.000000008,2026-03-31,Price (T.Rowe) Associates Inc,0.015800001,117242934,45894161158,-0.0673
1970-01-01 00:00:00.000000009,2026-03-31,Capital Research Global Investors,0.0128999995,96093061,37615148966,0.3105
