Date,Date_Reported,Holder,pctHeld,Shares,Value,pctChange
1970-01-01 00:00:00.000000000,2026-03-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0317,235805345,92304825000,0.0095999995
1970-01-01 00:00:00.000000001,2026-03-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0254,188702055,73866477301,0.0068
1970-01-01 00:00:00.000000002,2026-04-30,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,96047393,37597272456,0.0057
1970-01-01 00:00:00.000000003,2026-04-30,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128,95158373,37249270015,0.0034999999
1970-01-01 00:00:00.000000004,2026-04-30,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0119,88731173,34733374664,0.0256
1970-01-01 00:00:00.000000005,2026-03-31,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.0105,78110065,30575794966,0.0070999996
1970-01-01 00:00:00.000000006,2026-04-30,"Invesco QQQ Trust, Series 1",0.0078,57570410,22535649564,0.016
1970-01-01 00:00:00.000000007,2026-03-31,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,0.0056,41868492,16389212157,-0.0184
1970-01-01 00:00:00.000000008,2026-02-28,VANGUARD WORLD FUND-Vanguard Information Technology Index Fund,0.0045,33783805,13224501795,0.0252
1970-01-01 00:00:00.000000009,2026-03-31,GROWTH FUND OF AMERICA,0.0045,33502584,13114419239,-0.0056
